市場,證券代號,證券名稱,外資_買進,外資_賣出,外資_買賣超,投信_買進,投信_賣出,投信_買賣超,自營_買進,自營_賣出,自營_買賣超
TPEX,2756,聯發國際,5000,3000,2000,0,0,0,82,0,82
TPEX,2916,滿心,9000,2000,7000,0,0,0,0,1000,-1000
TPEX,2924,宏太-KY,3000,0,3000,0,0,0,0,0,0
TPEX,2937,集雅社,0,1000,-1000,0,0,0,0,0,0
TPEX,3066,李洲,21000,9000,12000,0,0,0,4001,0,4001
TPEX,3071,協禧,33000,4000,29000,0,0,0,0,0,0
TPEX,3073,天方能源,29000,20150,8850,0,0,0,0,0,0
TPEX,3078,僑威,1133000,437030,695970,0,0,0,263756,62376,201380
TPEX,3081,聯亞,1699000,2059000,-360000,346000,126000,220000,24766,112847,-88081
TPEX,3083,網龍,118000,116000,2000,0,0,0,2000,9000,-7000
TPEX,3086,華義,47000,28000,19000,0,0,0,133,233,-100
TPEX,3088,艾訊,336000,182655,153345,0,0,0,2053,3610,-1557
TPEX,3093,港建*,48000,18000,30000,0,0,0,0,0,0
TPEX,3095,及成,2000,2000,0,0,0,0,0,0,0
TPEX,3105,穩懋,847400,737000,110400,4000,0,4000,54057,21706,32351
TPEX,3114,好德,1000,1000,0,0,0,0,0,0,0
TPEX,3122,笙泉,13000,21000,-8000,0,0,0,0,0,0
TPEX,3128,昇銳,102000,144000,-42000,0,0,0,0,1,-1
TPEX,3131,弘塑,109000,82000,27000,0,1000,-1000,3551,6843,-3292
TPEX,3141,晶宏,41000,29000,12000,0,0,0,0,50,-50
TPEX,3147,大綜,124000,36000,88000,0,23000,-23000,0,4000,-4000
TPEX,3152,璟德,14000,11000,3000,0,0,0,336,0,336
TPEX,3162,精確,1348000,1671000,-323000,0,0,0,11000,6070,4930
TPEX,3163,波若威,1997000,2600000,-603000,0,1400000,-1400000,32515,54509,-21994
TPEX,3169,亞信,57000,11000,46000,0,0,0,694,280,414
TPEX,3171,炎洲流通,7000,3000,4000,0,0,0,0,2000,-2000
TPEX,3176,基亞,43000,2000,41000,0,0,0,3155,3000,155
TPEX,3178,公準,4000,0,4000,0,0,0,0,0,0
TPEX,3188,鑫龍騰,34000,22000,12000,0,0,0,0,0,0
TPEX,3205,佰研,2000,4000,-2000,0,0,0,0,11,-11
TPEX,3207,耀勝,163000,136000,27000,0,0,0,3080,2188,892
TPEX,3211,順達,1245000,1182230,62770,212000,0,212000,84622,39121,45501
