code,name,net_foreign,net_investment,net_dealer,net_total
1563,巧新            ,222705.0,0.0,0.0,222705.0
2402,毅嘉            ,230428.0,0.0,0.0,230428.0
"=""00685L""",群益臺灣加權正2 ,20000.0,0.0,0.0,20000.0
4763,材料-KY         ,230002.0,0.0,0.0,230002.0
"=""00896""",中信綠能及電動車,-97000.0,0.0,0.0,-97000.0
5608,四維航          ,214701.0,0.0,0.0,214701.0
2208,台船            ,247000.0,0.0,-83000.0,164000.0
3257,虹冠電          ,220695.0,0.0,0.0,220695.0
3596,智易            ,96164.0,0.0,7000.0,103164.0
2355,敬鵬            ,-384139.0,0.0,742787.0,358648.0
1446,宏和            ,214921.0,0.0,0.0,214921.0
2645,長榮航太        ,236758.0,0.0,-28000.0,208758.0
3576,聯合再生        ,200000.0,0.0,0.0,200000.0
6288,聯嘉            ,209767.0,0.0,0.0,209767.0
4540,全球傳動        ,203171.0,0.0,0.0,203171.0
6196,帆宣            ,211865.0,0.0,0.0,211865.0
1229,聯華            ,177132.0,0.0,0.0,177132.0
2454,聯發科          ,271587.0,0.0,-32288.0,239299.0
3189,景碩            ,237406.0,0.0,0.0,237406.0
2347,聯強            ,-143086.0,0.0,346000.0,202914.0
2379,瑞昱            ,432807.0,0.0,-191701.0,241106.0
"=""00961""",FT臺灣永續高息  ,9000.0,0.0,0.0,9000.0
1528,恩德            ,168117.0,0.0,0.0,168117.0
9917,中保科          ,191413.0,0.0,-1000.0,190413.0
9941,裕融            ,192075.0,0.0,0.0,192075.0
8016,矽創            ,197076.0,0.0,-1000.0,196076.0
6919,康霈*           ,182899.0,0.0,0.0,182899.0
1722,台肥            ,140620.0,0.0,-4000.0,136620.0
4142,國光生          ,165001.0,0.0,0.0,165001.0
6962,奕力-KY         ,290180.0,0.0,0.0,290180.0
2017,官田鋼          ,17268.0,0.0,0.0,17268.0
5534,長虹            ,157707.0,0.0,0.0,157707.0
2104,國際中橡        ,146997.0,0.0,0.0,146997.0
6189,豐藝            ,179858.0,0.0,0.0,179858.0
6515,穎崴            ,166084.0,0.0,0.0,166084.0
"=""00941""",中信上游半導體  ,-3472000.0,0.0,0.0,-3472000.0
2605,新興            ,181037.0,0.0,0.0,181037.0
2636,台驊控股        ,241000.0,0.0,0.0,241000.0
"=""00733""",富邦臺灣中小    ,167000.0,0.0,0.0,167000.0
1712,興農            ,181048.0,0.0,-19824.0,161224.0
1609,大亞            ,121830.0,0.0,0.0,121830.0
2504,國產            ,580399.0,0.0,-433000.0,147399.0
8150,南茂            ,159541.0,0.0,0.0,159541.0
6526,達發            ,160352.0,0.0,3000.0,163352.0
4906,正文            ,158036.0,0.0,0.0,158036.0
2536,宏普            ,172001.0,0.0,0.0,172001.0
5469,瀚宇博          ,182373.0,0.0,0.0,182373.0
8404,百和興業-KY     ,161114.0,0.0,0.0,161114.0
3040,遠見            ,150202.0,0.0,0.0,150202.0
2101,南港            ,141001.0,0.0,0.0,141001.0
3011,今皓            ,117994.0,0.0,0.0,117994.0
3406,玉晶光          ,152141.0,0.0,0.0,152141.0
1540,喬福            ,153114.0,0.0,0.0,153114.0
2444,兆勁            ,153000.0,0.0,0.0,153000.0
2034,允強            ,152136.0,0.0,0.0,152136.0
2392,正崴            ,166172.0,0.0,0.0,166172.0
2002,中鋼            ,207783.0,0.0,-2413.0,205370.0
2903,遠百            ,169928.0,0.0,-9415.0,160513.0
5284,jpp-KY          ,116459.0,0.0,-3000.0,113459.0
"=""02001R""",富邦蘋果反一N   ,0.0,0.0,0.0,0.0
"=""00951""",台新日本半導體  ,26000.0,0.0,0.0,26000.0
"=""00893""",國泰智能電動車  ,-1877000.0,0.0,0.0,-1877000.0
2495,普安            ,136932.0,0.0,0.0,136932.0
6669,緯穎            ,-96010.0,0.0,196478.0,100468.0
2020,美亞            ,131524.0,0.0,0.0,131524.0
4572,駐龍            ,41752.0,0.0,65000.0,106752.0
"=""00666R""",富邦琤肭磪齯1 ,0.0,0.0,0.0,0.0
2471,資通            ,133685.0,0.0,0.0,133685.0
4164,承業醫          ,135641.0,0.0,0.0,135641.0
4961,天鈺            ,130965.0,0.0,0.0,130965.0
2106,建大            ,119055.0,0.0,0.0,119055.0
5522,遠雄            ,137193.0,0.0,-21000.0,116193.0
8039,台虹            ,144612.0,0.0,0.0,144612.0
2013,中鋼構          ,127000.0,0.0,0.0,127000.0
3149,正達            ,116894.0,0.0,0.0,116894.0
2258,鴻華先進-創     ,127000.0,0.0,0.0,127000.0
2009,第一銅          ,122524.0,0.0,0.0,122524.0
1519,華城            ,80122.0,0.0,41000.0,121122.0
8213,志超            ,133028.0,0.0,0.0,133028.0
1104,環泥            ,124573.0,0.0,0.0,124573.0
"=""00701""",國泰股利精選30  ,28000.0,0.0,0.0,28000.0
3004,豐達科          ,123750.0,0.0,0.0,123750.0
1907,永豐餘          ,105783.0,0.0,0.0,105783.0
3591,艾笛森          ,135754.0,0.0,0.0,135754.0
3055,蔚華科          ,110302.0,0.0,0.0,110302.0
2501,國建            ,87054.0,0.0,0.0,87054.0
1560,中砂            ,139899.0,0.0,6000.0,145899.0
2417,圓剛            ,108016.0,0.0,0.0,108016.0
3048,益登            ,118464.0,0.0,0.0,118464.0
1582,信錦            ,71905.0,0.0,0.0,71905.0
2102,泰豐            ,95725.0,0.0,0.0,95725.0
4566,時碩工業        ,105662.0,0.0,0.0,105662.0
1310,台苯            ,80000.0,0.0,0.0,80000.0
9945,潤泰新          ,169981.0,0.0,-7000.0,162981.0
3583,辛耘            ,101914.0,0.0,0.0,101914.0
"=""00728""",第一金工業30    ,-22000.0,0.0,0.0,-22000.0
9940,信義            ,112055.0,0.0,-1802.0,110253.0
"=""00730""",富邦臺灣優質高息,-1000.0,0.0,0.0,-1000.0
4571,鈞興-KY         ,107975.0,0.0,0.0,107975.0
1313,聯成            ,76000.0,0.0,0.0,76000.0
6112,邁達特          ,136301.0,0.0,0.0,136301.0
2939,永邑-KY         ,105000.0,0.0,0.0,105000.0
1232,大統益          ,101008.0,0.0,0.0,101008.0
9925,新保            ,104000.0,0.0,0.0,104000.0
5515,建國            ,130372.0,0.0,0.0,130372.0
3023,信邦            ,94932.0,0.0,0.0,94932.0
6585,鼎基            ,83071.0,0.0,0.0,83071.0
3031,佰鴻            ,96000.0,0.0,0.0,96000.0
2908,特力            ,94492.0,0.0,0.0,94492.0
1702,南僑            ,109023.0,0.0,0.0,109023.0
1709,和益            ,117001.0,0.0,0.0,117001.0
"=""0052""",富邦科技        ,70010.0,0.0,0.0,70010.0
9927,泰銘            ,99833.0,0.0,0.0,99833.0
1234,黑松            ,93000.0,0.0,0.0,93000.0
1723,中碳            ,86013.0,0.0,0.0,86013.0
8112,至上            ,156714.0,0.0,-66590.0,90124.0
5531,鄉林            ,91000.0,0.0,0.0,91000.0
1604,聲寶            ,91398.0,0.0,0.0,91398.0
2207,和泰車          ,84312.0,0.0,-1069.0,83243.0
2241,艾姆勒          ,55091.0,0.0,0.0,55091.0
3058,立德            ,84000.0,0.0,0.0,84000.0
2485,兆赫            ,51151.0,0.0,0.0,51151.0
2612,中航            ,91442.0,0.0,0.0,91442.0
2849,安泰銀          ,65966.0,0.0,0.0,65966.0
2340,台亞            ,34699.0,0.0,0.0,34699.0
"=""00681R""",元大美債20反1   ,-3000.0,0.0,0.0,-3000.0
1611,中電            ,55000.0,0.0,0.0,55000.0
"=""00638R""",元大滬深300反1  ,2000.0,0.0,0.0,2000.0
6024,群益期          ,82117.0,0.0,-808.0,81309.0
2440,太空梭          ,81000.0,0.0,0.0,81000.0
1473,台南            ,86950.0,0.0,0.0,86950.0
1589,永冠-KY         ,80663.0,0.0,0.0,80663.0
3008,大立光          ,91440.0,0.0,-4020.0,87420.0
5258,虹堡            ,81687.0,0.0,0.0,81687.0
6166,凌華            ,73773.0,0.0,0.0,73773.0
2462,良得電          ,78135.0,0.0,0.0,78135.0
2505,國揚            ,73000.0,0.0,0.0,73000.0
4746,台耀            ,78593.0,0.0,0.0,78593.0
1455,集盛            ,65299.0,0.0,0.0,65299.0
"=""00904""",新光臺灣半導體30,-5000.0,0.0,0.0,-5000.0
6916,華凌            ,77887.0,0.0,0.0,77887.0
9914,美利達          ,68905.0,0.0,-1000.0,67905.0
2369,菱生            ,65000.0,0.0,0.0,65000.0
7722,LINEPAY         ,74712.0,0.0,0.0,74712.0
2062,橋椿            ,68787.0,0.0,0.0,68787.0
3545,敦泰            ,71350.0,0.0,0.0,71350.0
4722,國精化          ,69062.0,0.0,0.0,69062.0
6901,鑽石投資        ,69953.0,0.0,0.0,69953.0
8131,福懋科          ,65028.0,0.0,0.0,65028.0
4720,德淵            ,73094.0,0.0,0.0,73094.0
1217,愛之味          ,71000.0,0.0,0.0,71000.0
